"","Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
"49",1,1,2013-02-18,6407,710,1,1,"0",0
"50",1,2,2013-02-19,5386,608,1,1,"0",0
"51",1,3,2013-02-20,5660,684,1,1,"0",0
"52",1,4,2013-02-21,5261,629,1,1,"0",0
"53",1,5,2013-02-22,5000,599,1,1,"0",0
"54",1,6,2013-02-23,5237,650,1,0,"0",0
"55",1,7,2013-02-24,0,0,0,0,"0",0
"56",1,1,2013-02-25,4038,534,1,0,"0",0
"57",1,2,2013-02-26,3794,525,1,0,"0",0
"58",1,3,2013-02-27,4558,579,1,0,"0",0
"59",1,4,2013-02-28,4676,581,1,0,"0",0
"60",1,5,2013-03-01,4611,584,1,0,"0",0
"61",1,6,2013-03-02,5350,678,1,0,"0",0
"62",1,7,2013-03-03,0,0,0,0,"0",0
"63",1,1,2013-03-04,7675,840,1,1,"0",0
"64",1,2,2013-03-05,6300,715,1,1,"0",0
"65",1,3,2013-03-06,5973,678,1,1,"0",0
"66",1,4,2013-03-07,5637,702,1,1,"0",0
"67",1,5,2013-03-08,5853,694,1,1,"0",0
"68",1,6,2013-03-09,5578,734,1,0,"0",0
"69",1,7,2013-03-10,0,0,0,0,"0",0
"70",1,1,2013-03-11,4949,618,1,0,"0",0
"71",1,2,2013-03-12,3853,491,1,0,"0",0
"72",1,3,2013-03-13,4341,622,1,0,"0",0
"73",1,4,2013-03-14,5108,660,1,0,"0",0
"74",1,5,2013-03-15,4925,677,1,0,"0",0
"75",1,6,2013-03-16,5003,680,1,0,"0",0
"76",1,7,2013-03-17,0,0,0,0,"0",0
"77",1,1,2013-03-18,7072,778,1,1,"0",0
"78",1,2,2013-03-19,6563,719,1,1,"0",0
"79",1,3,2013-03-20,5598,688,1,1,"0",0
"80",1,4,2013-03-21,5179,662,1,1,"0",0
"81",1,5,2013-03-22,5506,694,1,1,"0",0
"82",1,6,2013-03-23,5603,682,1,0,"0",0
"83",1,7,2013-03-24,0,0,0,0,"0",0
"84",1,1,2013-03-25,6729,777,1,1,"0",1
"85",1,2,2013-03-26,6686,747,1,1,"0",1
"86",1,3,2013-03-27,6660,779,1,1,"0",1
"87",1,4,2013-03-28,7285,902,1,1,"0",1
"88",1,5,2013-03-29,0,0,0,1,"b",1
"89",1,6,2013-03-30,7132,773,1,0,"0",0
"90",1,7,2013-03-31,0,0,0,0,"0",0
"91",1,1,2013-04-01,0,0,0,0,"b",1
"92",1,2,2013-04-02,5484,629,1,0,"0",1
"93",1,3,2013-04-03,4625,594,1,0,"0",1
"94",1,4,2013-04-04,4293,566,1,0,"0",1
"95",1,5,2013-04-05,4390,571,1,0,"0",1
"96",1,6,2013-04-06,5075,657,1,0,"0",0
"97",1,7,2013-04-07,0,0,0,0,"0",0
"98",1,1,2013-04-08,6046,695,1,1,"0",0
"99",1,2,2013-04-09,5514,594,1,1,"0",0
"100",1,3,2013-04-10,4903,575,1,1,"0",0
"101",1,4,2013-04-11,4366,541,1,1,"0",0
"102",1,5,2013-04-12,5263,614,1,1,"0",0
"103",1,6,2013-04-13,4773,608,1,0,"0",0
"104",1,7,2013-04-14,0,0,0,0,"0",0
"105",1,1,2013-04-15,3941,526,1,0,"0",0
"106",1,2,2013-04-16,3357,453,1,0,"0",0
"107",1,3,2013-04-17,3649,500,1,0,"0",0
"108",1,4,2013-04-18,2952,432,1,0,"0",0
"109",1,5,2013-04-19,4303,526,1,0,"0",0
"110",1,6,2013-04-20,4350,546,1,0,"0",0
"111",1,7,2013-04-21,0,0,0,0,"0",0
"112",1,1,2013-04-22,5672,623,1,1,"0",0
"113",1,2,2013-04-23,4492,560,1,1,"0",0
"114",1,3,2013-04-24,4309,512,1,1,"0",0
"115",1,4,2013-04-25,3939,532,1,1,"0",0
"116",1,5,2013-04-26,4841,572,1,1,"0",0
"117",1,6,2013-04-27,5726,650,1,0,"0",0
"118",1,7,2013-04-28,0,0,0,0,"0",0
"119",1,1,2013-04-29,5821,641,1,1,"0",0
"120",1,2,2013-04-30,5925,665,1,1,"0",0
"121",1,3,2013-05-01,0,0,0,1,"a",0
"122",1,4,2013-05-02,6486,677,1,1,"0",0
"123",1,5,2013-05-03,6027,658,1,1,"0",0
"124",1,6,2013-05-04,5912,813,1,0,"0",0
"125",1,7,2013-05-05,0,0,0,0,"0",0
"126",1,1,2013-05-06,4568,562,1,0,"0",0
"127",1,2,2013-05-07,4624,540,1,0,"0",0
"128",1,3,2013-05-08,5230,631,1,0,"0",0
"129",1,4,2013-05-09,0,0,0,0,"a",0
"130",1,5,2013-05-10,5409,644,1,0,"0",0
"131",1,6,2013-05-11,5064,640,1,0,"0",0
"132",1,7,2013-05-12,0,0,0,0,"0",0
"133",1,1,2013-05-13,6106,660,1,1,"0",0
"134",1,2,2013-05-14,5083,574,1,1,"0",0
"135",1,3,2013-05-15,4790,576,1,1,"0",0
"136",1,4,2013-05-16,4448,544,1,1,"0",0
"137",1,5,2013-05-17,4856,597,1,1,"0",0
"138",1,6,2013-05-18,4413,535,1,0,"0",0
"139",1,7,2013-05-19,0,0,0,0,"0",0
"140",1,1,2013-05-20,0,0,0,0,"a",0
"141",1,2,2013-05-21,4789,602,1,0,"0",0
"142",1,3,2013-05-22,3559,507,1,0,"0",0
"143",1,4,2013-05-23,4030,536,1,0,"0",0
"144",1,5,2013-05-24,4232,534,1,0,"0",0
"145",1,6,2013-05-25,4408,538,1,0,"0",0
"146",1,7,2013-05-26,0,0,0,0,"0",0
"147",1,1,2013-05-27,5519,606,1,1,"0",0
"148",1,2,2013-05-28,4995,555,1,1,"0",0
"149",1,3,2013-05-29,5784,641,1,1,"0",0
"150",1,4,2013-05-30,0,0,0,1,"a",0
"151",1,5,2013-05-31,7893,795,1,1,"0",0
"152",1,6,2013-06-01,5693,662,1,0,"0",0
"153",1,7,2013-06-02,0,0,0,0,"0",0
"154",1,1,2013-06-03,5422,619,1,1,"0",0
"155",1,2,2013-06-04,5220,558,1,1,"0",0
"156",1,3,2013-06-05,5012,575,1,1,"0",0
"157",1,4,2013-06-06,4881,555,1,1,"0",0
"158",1,5,2013-06-07,4315,541,1,1,"0",0
"159",1,6,2013-06-08,4262,511,1,0,"0",0
"160",1,7,2013-06-09,0,0,0,0,"0",0
"161",1,1,2013-06-10,4291,531,1,0,"0",0
"162",1,2,2013-06-11,3784,500,1,0,"0",0
"163",1,3,2013-06-12,3563,476,1,0,"0",0
"164",1,4,2013-06-13,3661,461,1,0,"0",0
"165",1,5,2013-06-14,4150,529,1,0,"0",0
"166",1,6,2013-06-15,4766,567,1,0,"0",0
"167",1,7,2013-06-16,0,0,0,0,"0",0
"168",1,1,2013-06-17,5337,585,1,1,"0",0
"169",1,2,2013-06-18,4633,554,1,1,"0",0
"170",1,3,2013-06-19,4180,517,1,1,"0",0
"171",1,4,2013-06-20,5011,539,1,1,"0",0
"172",1,5,2013-06-21,5173,542,1,1,"0",0
"173",1,6,2013-06-22,4341,512,1,0,"0",0
"174",1,7,2013-06-23,0,0,0,0,"0",0
"175",1,1,2013-06-24,3549,494,1,0,"0",0
"176",1,2,2013-06-25,4536,528,1,0,"0",0
"177",1,3,2013-06-26,3827,508,1,0,"0",0
"178",1,4,2013-06-27,3593,464,1,0,"0",0
"179",1,5,2013-06-28,4407,568,1,0,"0",0
"180",1,6,2013-06-29,5804,671,1,0,"0",0
"181",1,7,2013-06-30,0,0,0,0,"0",0
"182",1,1,2013-07-01,5614,614,1,1,"0",0
"183",1,2,2013-07-02,5868,614,1,1,"0",0
"184",1,3,2013-07-03,5875,634,1,1,"0",0
"185",1,4,2013-07-04,5701,634,1,1,"0",0
"186",1,5,2013-07-05,4986,603,1,1,"0",0
"187",1,6,2013-07-06,4090,498,1,0,"0",1
"188",1,7,2013-07-07,0,0,0,0,"0",1
"189",1,1,2013-07-08,4475,523,1,0,"0",1
"190",1,2,2013-07-09,4047,503,1,0,"0",1
"191",1,3,2013-07-10,3963,496,1,0,"0",1
"192",1,4,2013-07-11,4053,486,1,0,"0",1
"193",1,5,2013-07-12,4134,514,1,0,"0",1
"194",1,6,2013-07-13,4015,490,1,0,"0",1
"195",1,7,2013-07-14,0,0,0,0,"0",1
"196",1,1,2013-07-15,6377,657,1,1,"0",1
"197",1,2,2013-07-16,5643,582,1,1,"0",1
"198",1,3,2013-07-17,4946,544,1,1,"0",1
"199",1,4,2013-07-18,4904,533,1,1,"0",1
"200",1,5,2013-07-19,4275,495,1,1,"0",1
"201",1,6,2013-07-20,4421,544,1,0,"0",1
"202",1,7,2013-07-21,0,0,0,0,"0",1
"203",1,1,2013-07-22,4149,493,1,0,"0",1
"204",1,2,2013-07-23,3937,497,1,0,"0",1
"205",1,3,2013-07-24,3849,453,1,0,"0",1
"206",1,4,2013-07-25,3502,451,1,0,"0",1
"207",1,5,2013-07-26,4221,516,1,0,"0",1
"208",1,6,2013-07-27,3352,456,1,0,"0",1
"209",1,7,2013-07-28,0,0,0,0,"0",1
"210",1,1,2013-07-29,6290,630,1,1,"0",1
"211",1,2,2013-07-30,5773,630,1,1,"0",1
"212",1,3,2013-07-31,5572,624,1,1,"0",1
"213",1,4,2013-08-01,4994,555,1,1,"0",1
"214",1,5,2013-08-02,4494,562,1,1,"0",1
"215",1,6,2013-08-03,4461,553,1,0,"0",1
"216",1,7,2013-08-04,0,0,0,0,"0",1
"217",1,1,2013-08-05,4086,522,1,0,"0",1
"218",1,2,2013-08-06,3582,477,1,0,"0",1
"219",1,3,2013-08-07,4143,512,1,0,"0",1
"220",1,4,2013-08-08,3680,466,1,0,"0",1
"221",1,5,2013-08-09,3257,418,1,0,"0",1
"222",1,6,2013-08-10,3768,457,1,0,"0",1
"223",1,7,2013-08-11,0,0,0,0,"0",1
"224",1,1,2013-08-12,5326,600,1,1,"0",1
"225",1,2,2013-08-13,5299,573,1,1,"0",1
"226",1,3,2013-08-14,4724,574,1,1,"0",1
"227",1,4,2013-08-15,4575,538,1,1,"0",1
"228",1,5,2013-08-16,4552,527,1,1,"0",1
"229",1,6,2013-08-17,4078,503,1,0,"0",0
"230",1,7,2013-08-18,0,0,0,0,"0",0
"231",1,1,2013-08-19,3954,513,1,0,"0",0
"232",1,2,2013-08-20,3492,475,1,0,"0",0
"233",1,3,2013-08-21,3096,441,1,0,"0",0
"234",1,4,2013-08-22,3703,498,1,0,"0",0
"235",1,5,2013-08-23,3493,445,1,0,"0",0
"236",1,6,2013-08-24,4752,601,1,0,"0",0
"237",1,7,2013-08-25,0,0,0,0,"0",0
"238",1,1,2013-08-26,5482,613,1,1,"0",0
"239",1,2,2013-08-27,5156,556,1,1,"0",0
"240",1,3,2013-08-28,4583,507,1,1,"0",0
"241",1,4,2013-08-29,4804,534,1,1,"0",0
"242",1,5,2013-08-30,5469,612,1,1,"0",0
"243",1,6,2013-08-31,5317,598,1,0,"0",0
"244",1,7,2013-09-01,0,0,0,0,"0",0
"245",1,1,2013-09-02,4195,496,1,0,"0",0
"246",1,2,2013-09-03,3928,507,1,0,"0",0
"247",1,3,2013-09-04,3343,444,1,0,"0",0
"248",1,4,2013-09-05,3883,465,1,0,"0",0
"249",1,5,2013-09-06,3836,466,1,0,"0",0
"250",1,6,2013-09-07,4663,555,1,0,"0",0
"251",1,7,2013-09-08,0,0,0,0,"0",0
"252",1,1,2013-09-09,5893,601,1,1,"0",0
"253",1,2,2013-09-10,5403,599,1,1,"0",0
"254",1,3,2013-09-11,5103,580,1,1,"0",0
"255",1,4,2013-09-12,5079,586,1,1,"0",0
"256",1,5,2013-09-13,5187,559,1,1,"0",0
"257",1,6,2013-09-14,4663,619,1,0,"0",0
"258",1,7,2013-09-15,0,0,0,0,"0",0
"259",1,1,2013-09-16,4249,568,1,0,"0",0
"260",1,2,2013-09-17,3685,502,1,0,"0",0
"261",1,3,2013-09-18,3946,507,1,0,"0",0
"262",1,4,2013-09-19,3717,469,1,0,"0",0
"263",1,5,2013-09-20,3516,494,1,0,"0",0
"264",1,6,2013-09-21,3909,522,1,0,"0",0
"265",1,7,2013-09-22,0,0,0,0,"0",0
"266",1,1,2013-09-23,4770,542,1,1,"0",0
"267",1,2,2013-09-24,4274,492,1,1,"0",0
"268",1,3,2013-09-25,4212,500,1,1,"0",0
"269",1,4,2013-09-26,4481,537,1,1,"0",0
"270",1,5,2013-09-27,4669,548,1,1,"0",0
"271",1,6,2013-09-28,4175,538,1,0,"0",0
"272",1,7,2013-09-29,0,0,0,0,"0",0
"273",1,1,2013-09-30,4088,516,1,0,"0",0
"274",1,2,2013-10-01,4178,508,1,0,"0",0
"275",1,3,2013-10-02,4001,509,1,0,"0",0
"276",1,4,2013-10-03,0,0,0,0,"a",0
"277",1,5,2013-10-04,5447,619,1,0,"0",0
"278",1,6,2013-10-05,5352,662,1,0,"0",0
"279",1,7,2013-10-06,0,0,0,0,"0",0
"280",1,1,2013-10-07,6004,626,1,1,"0",0
"281",1,2,2013-10-08,5452,592,1,1,"0",0
"282",1,3,2013-10-09,4957,596,1,1,"0",0
"283",1,4,2013-10-10,5286,596,1,1,"0",0
"284",1,5,2013-10-11,5896,670,1,1,"0",0
"285",1,6,2013-10-12,4954,608,1,0,"0",0
"286",1,7,2013-10-13,0,0,0,0,"0",0
"287",1,1,2013-10-14,3773,478,1,0,"0",1
"288",1,2,2013-10-15,3355,457,1,0,"0",1
"289",1,3,2013-10-16,3383,452,1,0,"0",1
"290",1,4,2013-10-17,3223,446,1,0,"0",1
"291",1,5,2013-10-18,3566,490,1,0,"0",1
"292",1,6,2013-10-19,3667,479,1,0,"0",1
"293",1,7,2013-10-20,0,0,0,0,"0",1
"294",1,1,2013-10-21,5055,571,1,1,"0",1
"295",1,2,2013-10-22,4068,504,1,1,"0",1
"296",1,3,2013-10-23,4612,505,1,1,"0",1
"297",1,4,2013-10-24,4044,498,1,1,"0",1
"298",1,5,2013-10-25,4573,576,1,1,"0",1
"299",1,6,2013-10-26,4347,535,1,0,"0",0
"300",1,7,2013-10-27,0,0,0,0,"0",0
"301",1,1,2013-10-28,3557,494,1,0,"0",0
"302",1,2,2013-10-29,3737,479,1,0,"0",0
"303",1,3,2013-10-30,4119,496,1,0,"0",0
"304",1,4,2013-10-31,4035,514,1,0,"0",0
"305",1,5,2013-11-01,5471,707,1,0,"0",0
"306",1,6,2013-11-02,5233,653,1,0,"0",0
"307",1,7,2013-11-03,0,0,0,0,"0",0
"308",1,1,2013-11-04,5861,620,1,1,"0",0
"309",1,2,2013-11-05,5348,628,1,1,"0",0
"310",1,3,2013-11-06,5572,611,1,1,"0",0
"311",1,4,2013-11-07,5009,575,1,1,"0",0
"312",1,5,2013-11-08,5242,583,1,1,"0",0
"313",1,6,2013-11-09,4681,582,1,0,"0",0
"314",1,7,2013-11-10,0,0,0,0,"0",0
"315",1,1,2013-11-11,4014,519,1,0,"0",0
"316",1,2,2013-11-12,4017,507,1,0,"0",0
"317",1,3,2013-11-13,3310,464,1,0,"0",0
"318",1,4,2013-11-14,3795,502,1,0,"0",0
"319",1,5,2013-11-15,4016,504,1,0,"0",0
"320",1,6,2013-11-16,5071,616,1,0,"0",0
"321",1,7,2013-11-17,0,0,0,0,"0",0
"322",1,1,2013-11-18,5927,681,1,1,"0",0
"323",1,2,2013-11-19,5143,583,1,1,"0",0
"324",1,3,2013-11-20,4936,586,1,1,"0",0
"325",1,4,2013-11-21,4623,545,1,1,"0",0
"326",1,5,2013-11-22,5058,581,1,1,"0",0
"327",1,6,2013-11-23,5297,614,1,0,"0",0
"328",1,7,2013-11-24,0,0,0,0,"0",0
"329",1,1,2013-11-25,4600,575,1,0,"0",0
"330",1,2,2013-11-26,4201,524,1,0,"0",0
"331",1,3,2013-11-27,4561,530,1,0,"0",0
"332",1,4,2013-11-28,4614,585,1,0,"0",0
"333",1,5,2013-11-29,5623,665,1,0,"0",0
"334",1,6,2013-11-30,6373,730,1,0,"0",0
"335",1,7,2013-12-01,0,0,0,0,"0",0
"336",1,1,2013-12-02,6943,754,1,1,"0",0
"337",1,2,2013-12-03,6293,658,1,1,"0",0
"338",1,3,2013-12-04,5688,627,1,1,"0",0
"339",1,4,2013-12-05,5691,685,1,1,"0",0
"340",1,5,2013-12-06,6112,673,1,1,"0",0
"341",1,6,2013-12-07,5799,723,1,0,"0",0
"342",1,7,2013-12-08,0,0,0,0,"0",0
"343",1,1,2013-12-09,4462,576,1,0,"0",0
"344",1,2,2013-12-10,4228,581,1,0,"0",0
"345",1,3,2013-12-11,4301,543,1,0,"0",0
"346",1,4,2013-12-12,4074,558,1,0,"0",0
"347",1,5,2013-12-13,4703,594,1,0,"0",0
"348",1,6,2013-12-14,6119,743,1,0,"0",0
"349",1,7,2013-12-15,0,0,0,0,"0",0
"350",1,1,2013-12-16,8277,825,1,1,"0",0
"351",1,2,2013-12-17,7356,808,1,1,"0",0
"352",1,3,2013-12-18,7821,828,1,1,"0",0
"353",1,4,2013-12-19,6788,782,1,1,"0",0
"354",1,5,2013-12-20,8414,895,1,1,"0",0
"355",1,6,2013-12-21,8043,927,1,0,"0",0
"356",1,7,2013-12-22,0,0,0,0,"0",0
"357",1,1,2013-12-23,9528,1130,1,0,"0",1
"358",1,2,2013-12-24,3204,385,1,0,"0",1
"359",1,3,2013-12-25,0,0,0,0,"c",1
"360",1,4,2013-12-26,0,0,0,0,"c",1
"361",1,5,2013-12-27,6110,737,1,0,"0",1
"362",1,6,2013-12-28,5659,716,1,0,"0",1
"363",1,7,2013-12-29,0,0,0,0,"0",1
"364",1,1,2013-12-30,7193,796,1,0,"0",1
"365",1,2,2013-12-31,2362,298,1,0,"0",1
"366",1,3,2014-01-01,0,0,0,0,"a",1
"367",1,4,2014-01-02,4969,618,1,0,"0",1
"368",1,5,2014-01-03,4190,552,1,0,"0",1
"369",1,6,2014-01-04,5173,660,1,0,"0",1
"370",1,7,2014-01-05,0,0,0,0,"0",1
"371",1,1,2014-01-06,6194,649,1,1,"0",1
"372",1,2,2014-01-07,5539,607,1,1,"0",1
"373",1,3,2014-01-08,4931,589,1,1,"0",1
"374",1,4,2014-01-09,4396,539,1,1,"0",1
"375",1,5,2014-01-10,4486,559,1,1,"0",1
"376",1,6,2014-01-11,4454,569,1,0,"0",0
"377",1,7,2014-01-12,0,0,0,0,"0",0
"378",1,1,2014-01-13,3994,545,1,0,"0",0
"379",1,2,2014-01-14,3621,464,1,0,"0",0
"380",1,3,2014-01-15,3776,486,1,0,"0",0
"381",1,4,2014-01-16,3632,477,1,0,"0",0
"382",1,5,2014-01-17,3803,479,1,0,"0",0
"383",1,6,2014-01-18,5128,630,1,0,"0",0
"384",1,7,2014-01-19,0,0,0,0,"0",0
"385",1,1,2014-01-20,6148,653,1,1,"0",0
"386",1,2,2014-01-21,5151,551,1,1,"0",0
"387",1,3,2014-01-22,4562,549,1,1,"0",0
"388",1,4,2014-01-23,4597,525,1,1,"0",0
"389",1,5,2014-01-24,5098,587,1,1,"0",0
"390",1,6,2014-01-25,4546,561,1,0,"0",0
"391",1,7,2014-01-26,0,0,0,0,"0",0
"392",1,1,2014-01-27,3601,517,1,0,"0",0
"393",1,2,2014-01-28,3581,453,1,0,"0",0
"394",1,3,2014-01-29,3789,491,1,0,"0",0
"395",1,4,2014-01-30,4549,543,1,0,"0",0
"396",1,5,2014-01-31,4906,589,1,0,"0",0
"397",1,6,2014-02-01,5292,667,1,0,"0",0
"398",1,7,2014-02-02,0,0,0,0,"0",0
"399",1,1,2014-02-03,5839,638,1,1,"0",0
"400",1,2,2014-02-04,5540,602,1,1,"0",0
"401",1,3,2014-02-05,5031,581,1,1,"0",0
"402",1,4,2014-02-06,4823,557,1,1,"0",0
"403",1,5,2014-02-07,5596,636,1,1,"0",0
"404",1,6,2014-02-08,4726,620,1,0,"0",0
"405",1,7,2014-02-09,0,0,0,0,"0",0
"406",1,1,2014-02-10,3591,502,1,0,"0",0
"407",1,2,2014-02-11,3461,481,1,0,"0",0
"408",1,3,2014-02-12,3662,508,1,0,"0",0
"409",1,4,2014-02-13,3638,517,1,0,"0",0
"410",1,5,2014-02-14,4647,591,1,0,"0",0
"411",1,6,2014-02-15,5258,655,1,0,"0",0
"412",1,7,2014-02-16,0,0,0,0,"0",0
"413",1,1,2014-02-17,5393,606,1,1,"0",0
"414",1,2,2014-02-18,4602,556,1,1,"0",0
"415",1,3,2014-02-19,4935,547,1,1,"0",0
"416",1,4,2014-02-20,4563,559,1,1,"0",0
"417",1,5,2014-02-21,4727,550,1,1,"0",0
"418",1,6,2014-02-22,4820,623,1,0,"0",0
"419",1,7,2014-02-23,0,0,0,0,"0",0
"420",1,1,2014-02-24,3826,481,1,0,"0",0
"421",1,2,2014-02-25,3499,470,1,0,"0",0
"422",1,3,2014-02-26,4108,491,1,0,"0",0
"423",1,4,2014-02-27,3826,519,1,0,"0",0
"424",1,5,2014-02-28,5031,603,1,0,"0",0
"425",1,6,2014-03-01,5307,655,1,0,"0",0
"426",1,7,2014-03-02,0,0,0,0,"0",0
"427",1,1,2014-03-03,6198,616,1,1,"0",0
"428",1,2,2014-03-04,5397,619,1,1,"0",0
"429",1,3,2014-03-05,4916,592,1,1,"0",0
"430",1,4,2014-03-06,4585,542,1,1,"0",0
"431",1,5,2014-03-07,5340,588,1,1,"0",0
"432",1,6,2014-03-08,4400,550,1,0,"0",0
"433",1,7,2014-03-09,0,0,0,0,"0",0
"434",1,1,2014-03-10,3573,469,1,0,"0",0
"435",1,2,2014-03-11,3588,476,1,0,"0",0
"436",1,3,2014-03-12,3805,499,1,0,"0",0
"437",1,4,2014-03-13,3224,450,1,0,"0",0
"438",1,5,2014-03-14,3883,502,1,0,"0",0
"439",1,6,2014-03-15,5042,630,1,0,"0",0
"440",1,7,2014-03-16,0,0,0,0,"0",0
"441",1,1,2014-03-17,5563,628,1,1,"0",0
"442",1,2,2014-03-18,5200,635,1,1,"0",0
"443",1,3,2014-03-19,4036,496,1,1,"0",0
"444",1,4,2014-03-20,4023,485,1,1,"0",0
"445",1,5,2014-03-21,4510,542,1,1,"0",0
"446",1,6,2014-03-22,5241,628,1,0,"0",0
"447",1,7,2014-03-23,0,0,0,0,"0",0
"448",1,1,2014-03-24,3850,511,1,0,"0",0
"449",1,2,2014-03-25,3136,448,1,0,"0",0
"450",1,3,2014-03-26,3225,443,1,0,"0",0
"451",1,4,2014-03-27,3847,512,1,0,"0",0
"452",1,5,2014-03-28,3987,471,1,0,"0",0
"453",1,6,2014-03-29,4583,548,1,0,"0",0
"454",1,7,2014-03-30,0,0,0,0,"0",0
"455",1,1,2014-03-31,6008,640,1,1,"0",0
"456",1,2,2014-04-01,5407,583,1,1,"0",0
"457",1,3,2014-04-02,4834,539,1,1,"0",0
"458",1,4,2014-04-03,4556,526,1,1,"0",0
"459",1,5,2014-04-04,4738,552,1,1,"0",0
"460",1,6,2014-04-05,4599,571,1,0,"0",0
"461",1,7,2014-04-06,0,0,0,0,"0",0
"462",1,1,2014-04-07,3751,497,1,0,"0",0
"463",1,2,2014-04-08,3990,496,1,0,"0",0
"464",1,3,2014-04-09,3919,528,1,0,"0",0
"465",1,4,2014-04-10,3948,501,1,0,"0",0
"466",1,5,2014-04-11,3733,507,1,0,"0",0
"467",1,6,2014-04-12,4435,570,1,0,"0",0
"468",1,7,2014-04-13,0,0,0,0,"0",0
"469",1,1,2014-04-14,6803,693,1,1,"0",1
"470",1,2,2014-04-15,6196,672,1,1,"0",1
"471",1,3,2014-04-16,6381,662,1,1,"0",1
"472",1,4,2014-04-17,6160,703,1,1,"0",1
"473",1,5,2014-04-18,0,0,0,1,"b",1
"474",1,6,2014-04-19,5871,642,1,0,"0",1
"475",1,7,2014-04-20,0,0,0,0,"0",1
"476",1,1,2014-04-21,0,0,0,0,"b",1
"477",1,2,2014-04-22,4133,563,1,0,"0",1
"478",1,3,2014-04-23,3482,434,1,0,"0",1
"479",1,4,2014-04-24,3376,461,1,0,"0",1
"480",1,5,2014-04-25,3710,468,1,0,"0",1
"481",1,6,2014-04-26,3989,535,1,0,"0",0
"482",1,7,2014-04-27,0,0,0,0,"0",0
"483",1,1,2014-04-28,5488,607,1,1,"0",0
"484",1,2,2014-04-29,5923,628,1,1,"0",0
"485",1,3,2014-04-30,5870,624,1,1,"0",0
"486",1,4,2014-05-01,0,0,0,1,"a",0
"487",1,5,2014-05-02,6790,732,1,1,"0",0
"488",1,6,2014-05-03,5498,633,1,0,"0",0
"489",1,7,2014-05-04,0,0,0,0,"0",0
"490",1,1,2014-05-05,5325,615,1,1,"0",0
"491",1,2,2014-05-06,5055,585,1,1,"0",0
"492",1,3,2014-05-07,5075,604,1,1,"0",0
"493",1,4,2014-05-08,5222,614,1,1,"0",0
"494",1,5,2014-05-09,5237,622,1,1,"0",0
"495",1,6,2014-05-10,5996,710,1,0,"0",0
"496",1,7,2014-05-11,0,0,0,0,"0",0
"497",1,1,2014-05-12,3957,555,1,0,"0",0
"498",1,2,2014-05-13,3535,449,1,0,"0",0
"499",1,3,2014-05-14,3710,474,1,0,"0",0
